5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 2 Flow (Veh/5 Minutes),Flow (Veh/5 Minutes),# Lane Points,% Observed
9/04/2018 19:30,0,0,0,2,0
9/04/2018 19:35,0,0,0,2,0
9/04/2018 19:40,0,0,0,2,0
9/04/2018 19:45,0,0,0,2,0
9/04/2018 19:50,0,0,0,2,0
9/04/2018 19:55,0,0,0,2,50
9/04/2018 20:00,0,0,0,2,0
9/04/2018 20:05,0,0,0,2,0
9/04/2018 20:10,0,0,0,2,0
9/04/2018 20:15,0,0,0,2,0
9/04/2018 20:20,0,0,0,2,0
9/04/2018 20:25,0,0,0,2,0
9/04/2018 20:30,0,0,0,2,0
9/04/2018 20:35,0,0,0,2,0
9/04/2018 20:40,0,0,0,2,0
9/04/2018 20:45,10,0,10,2,50
9/04/2018 20:50,0,0,0,2,0
9/04/2018 20:55,0,0,0,2,0
9/05/2018 15:00,44,0,44,2,50
9/05/2018 15:05,41,0,41,2,50
9/05/2018 15:10,43,0,43,2,50
9/05/2018 15:15,51,0,51,2,50
9/05/2018 15:20,54,0,54,2,50
9/05/2018 15:25,57,0,57,2,50
9/05/2018 15:30,65,0,65,2,50
9/05/2018 15:35,53,0,53,2,50
9/05/2018 15:40,61,0,61,2,50
9/05/2018 15:45,79,0,79,2,50
9/05/2018 15:50,81,0,81,2,50
9/05/2018 15:55,90,0,90,2,50
9/05/2018 16:00,85,0,85,2,50
9/05/2018 16:05,90,0,90,2,50
9/05/2018 16:10,74,0,74,2,50
9/05/2018 16:15,96,0,96,2,50
9/05/2018 16:20,94,0,94,2,50
9/05/2018 16:25,74,0,74,2,50
9/05/2018 16:30,96,0,96,2,50
9/05/2018 16:35,72,0,72,2,50
9/05/2018 16:40,81,0,81,2,50
9/05/2018 16:45,86,0,86,2,50
9/05/2018 16:50,76,0,76,2,50
9/05/2018 16:55,68,0,68,2,50
9/05/2018 17:00,58,0,58,2,50
9/05/2018 17:05,52,0,52,2,50
9/05/2018 17:10,83,0,83,2,50
9/05/2018 17:15,75,0,75,2,50
9/05/2018 17:20,68,0,68,2,50
9/05/2018 17:25,69,0,69,2,50
9/05/2018 17:30,54,0,54,2,50
9/05/2018 17:35,74,0,74,2,50
9/05/2018 17:40,54,0,54,2,50
9/05/2018 17:45,56,0,56,2,50
9/05/2018 17:50,56,0,56,2,50
9/05/2018 17:55,56,0,56,2,50
9/05/2018 18:00,41,0,41,2,50
9/05/2018 18:05,62,0,62,2,50
9/05/2018 18:10,47,0,47,2,50
9/05/2018 18:15,40,0,40,2,50
9/05/2018 18:20,42,0,42,2,50
9/05/2018 18:25,57,0,57,2,50
9/05/2018 18:30,40,0,40,2,50
9/05/2018 18:35,35,0,35,2,50
9/05/2018 18:40,38,0,38,2,50
9/05/2018 18:45,33,0,33,2,50
9/05/2018 18:50,24,0,24,2,50
9/05/2018 18:55,30,0,30,2,50
9/05/2018 19:00,27,0,27,2,50
9/05/2018 19:05,27,0,27,2,50
9/05/2018 19:10,23,0,23,2,50
9/05/2018 19:15,25,0,25,2,50
9/05/2018 19:20,24,0,24,2,50
9/05/2018 19:25,23,0,23,2,50
9/05/2018 19:30,24,0,24,2,50
9/05/2018 19:35,21,0,21,2,50
9/05/2018 19:40,18,0,18,2,50
9/05/2018 19:45,15,0,15,2,50
9/05/2018 19:50,22,0,22,2,50
9/05/2018 19:55,19,0,19,2,50
9/05/2018 20:00,15,0,15,2,50
9/05/2018 20:05,16,0,16,2,50
9/05/2018 20:10,24,0,24,2,50
9/05/2018 20:15,22,0,22,2,50
9/05/2018 20:20,17,0,17,2,50
9/05/2018 20:25,14,0,14,2,50
9/05/2018 20:30,19,0,19,2,50
9/05/2018 20:35,6,0,6,2,50
9/05/2018 20:40,12,0,12,2,50
9/05/2018 20:45,11,0,11,2,50
9/05/2018 20:50,21,0,21,2,50
9/05/2018 20:55,12,0,12,2,50
